epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,560.227,0.64924,0.5521,0.93088,0.92968,0.87715,0.95353,0.82541,0.80976,0.85269,1.06613,0.000548158,0.000548158,0.000548158
2,1088.56,0.711,0.5753,0.95151,0.93116,0.8592,0.92624,0.79958,0.89124,0.90628,1.12477,0.00108197,0.00108197,0.00108197
3,1628.35,0.72539,0.58895,0.95291,0.91881,0.86733,0.94464,0.77851,0.89858,0.90497,1.07935,0.00159378,0.00159378,0.00159378
4,2154.5,0.73075,0.58629,0.95809,0.94328,0.78712,0.8932,0.75899,0.98647,1.02564,1.15853,0.00156798,0.00156798,0.00156798
5,2675.12,0.70085,0.56048,0.94125,0.91987,0.87013,0.94382,0.78266,0.87575,0.91514,1.10328,0.00153497,0.00153497,0.00153497
6,3200.18,0.70387,0.55584,0.94725,0.93365,0.87427,0.94142,0.80075,0.85925,0.80454,1.0892,0.00150197,0.00150197,0.00150197
7,3728.46,0.69403,0.54108,0.94294,0.91182,0.84506,0.9188,0.78401,0.91851,0.85203,1.15643,0.00146896,0.00146896,0.00146896
8,4254.84,0.67096,0.52234,0.9373,0.93008,0.87925,0.94288,0.83678,0.77963,0.75969,1.05715,0.00143595,0.00143595,0.00143595
9,4778.03,0.65033,0.50029,0.92636,0.93885,0.86913,0.94539,0.83209,0.75792,0.79242,1.03317,0.00140295,0.00140295,0.00140295
10,5301.19,0.63448,0.48857,0.92374,0.93061,0.88572,0.95942,0.8408,0.78654,0.65346,1.06235,0.00136994,0.00136994,0.00136994
11,5825.67,0.62321,0.47679,0.91827,0.94171,0.88491,0.96136,0.85769,0.74414,0.69495,1.03043,0.00133693,0.00133693,0.00133693
12,6353.73,0.60883,0.46204,0.91424,0.91666,0.85354,0.91241,0.80496,0.81797,0.88691,1.06916,0.00130393,0.00130393,0.00130393
13,6884.91,0.63378,0.47044,0.91839,0.93351,0.89565,0.95195,0.84132,0.77246,0.64161,1.03516,0.00127092,0.00127092,0.00127092
14,7410.21,0.59785,0.4495,0.90966,0.94527,0.89562,0.95863,0.85777,0.72521,0.64718,1.01993,0.00123791,0.00123791,0.00123791
15,7937.84,0.599,0.45365,0.90923,0.92366,0.87717,0.94575,0.85142,0.71316,0.71506,1.01644,0.00120491,0.00120491,0.00120491
16,8461.17,0.59545,0.453,0.90853,0.91851,0.91068,0.9587,0.84177,0.73109,0.67639,1.01247,0.0011719,0.0011719,0.0011719
